	Distribution of Employment within Food Manufacturing (NAICS 311):	Bureau; generated by RTI International; using American FactFinder; â€œSector 00: All sectors: Core Business Statistics Series: Comparative Statistics for the United States and the States	Bureau; generated by RTI International; using American FactFinder; â€œSector 00: All sectors: Core Business Statistics Series: Comparative Statistics for the United States and the States	Bureau; generated by RTI International; using American FactFinder; â€œSector 00: All sectors: Core Business Statistics Series: Comparative Statistics for the United States and the States	Bureau; generated by RTI International; using American FactFinder; â€œSector 00: All sectors: Core Business Statistics Series: Comparative Statistics for the United States and the States	Animal Slaughtering and Processing made up the largest share of both employment (33%) and the value of shipments (27%)	Census Bureau; generated by RTI International; using American FactFinder; â€œSector 31: Manufacturing: Geographic Area Series: Industry Statistics for the States, Metropolitan and Micropolitan Statistical Areas, Counties, and Places:	Department of Energy, Energy Information Administration.	Census Bureau; generated by RTI International; using American FactFinder; â€œSector 31: Manufacturing: Geographic Area Series: Industry Statistics for the States, Metropolitan and Micropolitan Statistical Areas, Counties, and Places:	Census Bureau; generated by RTI International; using American FactFinder; â€œSector 31: Annual Survey of Manufactures: General Statistics: Statistics for Industry Groups and Industries:	Bureau; generated by RTI International; using American FactFinder; â€œSector 00: All Sectors: Core Business Statistics Series: Comparative Statistics for the United States and the States	Bureau; generated by Kapur Energy and Environment; using American FactFinder; â€œSector 00: EC0700A1: All Sectors: Geographic Area Series: Economy-Wide Key Statistics:	Bureau; generated by Kapur Energy and Environment; using American FactFinder; â€œSector 31: EC0731I1: Manufacturing: Industry Series: Detailed Statistics by Industry for the United States: 2007.â€ Accessed on	Firm Size Data from the Statistics of U.S. Businesses: U.S. Detail Employment Sizes:	Census Bureau; generated by RTI International; using American FactFinder; â€œSector 31: Annual Survey of Manufactures: General Statistics: Statistics for Industry Groups and Industries:	Bureau; generated by RTI International; using American FactFinder; â€œSector 00: All Sectors: Core Business Statistics Series: Comparative Statistics for the United States and the States	Bureau; generated by Kapur Energy and Environment; using American FactFinder; â€œSector 00: EC0700A1: All Sectors: Geographic Area Series: Economy-Wide Key Statistics:	Bureau; generated by RTI International; using American FactFinder; â€œSector 00: All Sectors: Core Business Statistics Series: Comparative Statistics for the United States and the States	Bureau; generated by Kapur Energy and Environment; using American FactFinder; â€œSector 00: EC0700A1: All Sectors: Geographic Area Series: Economy-Wide Key Statistics:	Paper & Forest Products.	Assessing the Employment Impacts of Environmental and Natural Resource Policy.â€ Environmental and Resource Economics	Environmental regulation and labor demand: Evidence from the south coast air basin.	Do environmental regulations cost jobs? An industry-level analysis of the UK.	Transforming: The Dow Chemical Company	Deposition and cycling of sulfur controls mercury accumulation in Isle Royale fish.	Jobs versus the Environment: An Industry-Level Perspective.â€	What Determines the Value of Life?	Estimating the Public Health Benefits of Proposed Air Pollution Regulations.	Chemicals.â€ Standard and Poorâ€™s Industry Surveys.	Lung Cancer, Cardiopulmonary Mortality, and Long-term Exposure to Fine Particulate Air Pollution.â€	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the U.S.â€ Environ. Sci. Technol.	Applying General Equilibrium. New York:	of Economic Analysis (BEA).	of Economic Analysis (BEA).	Producer Price Index. Series ID:PCU321â€”321â€”& PCUOMFGâ€”OMFGâ€”<http://www.bls.gov/ppi/home.htm&gt;. (Data accessed on	Producer Price Index. Series ID:PCU322â€“322â€“ & PCUOMFGâ€“OMFGâ€“.	of Labor Statistics (BLS).	Producer Price Index.â€ Series ID: PCU3313â€“ 3313â€“ & PCUOMFGâ€“OMFGâ€“.	Economic Census: Sector 00: All sectors: Core Business Statistics Series: Comparative Statistics for the United States and the States	Economic Census: Sector 00: All sectors: Core Business Statistics Series: Comparative Statistics for the United States and the States	Economic Census: Sector 22: Utilities: Geographic Area Series: Summary Statistics:	Census of Governments, Volume 4, Number 3, Finances of County Governments:	Census of Governments, Volume 4, Number 4, Finances of Municipal and Township Governments:	Exclusions from the Economic Census.â€	Firm Size Data from the Statistics of U.S. Businesses: U.S. Detail Employment Sizes:	NAICS Definition.â€ sssd/naics/naicsrch?code=324&search=2002%20NAICS%20Search&gt;.	Department of Energy, Energy Information Administration.	Department of Energy, Energy Information Administration.	Department of Energy, Energy Information Administration.	Department of Energy, Energy Information Administration.	Department of Energy, Energy Information Administration. 2010d. â€œElectric Power Annual 2008: Table 8.1, Table 8.3, Table 8.4, Table 8.5,	Occupational Safety and Health Administration (OSHA).	As obtained on	Producer Price Indexes. Id: PCU311â€”311â€”Food Manufacturing & PCUOMFGâ€“OMFGâ€“Total Manufacturing&gt;.	Environmental Protection Agency, Office of Air Quality Planning and Standards.	Guidelines for Preparing Economic Analyses.	Environmental Protection Agency.	Environmental Protection Agency.	Environmental Protection Agency, Office of Air Quality Planning and Standards.	Environmental Protection Agency	Regulatory Impact Analysis,	Regulatory Impact Analysis: National Emission Standards for Hazardous Air Pollutants from the Portland Cement Manufacturing Industry. Office of Air Quality Planning and Standards, Research Triangle Park,	Environmental Protection Agency (U.S.	Integrated Science Assessment for Particulate Matter (Final Report). EPA-600-R-08-139F. National Center for Environmental Assessmentâ€”RTP Division. December. Available at TO: Jim Eddinger, U.S. Environmental Protection Agency, OAQPS/SPPD FROM: Susan McClutchey, Amanda Singleton, and Graham Gibson,	Methodology for Estimating Control Costs for the Major Source Industrial, Commercial and Institutional Boilers and Process Heaters National Emission Standards for Hazardous Air Pollutants.	New Unit Analysis for Industrial, Commercial, and Institutional Boilers and Process Heaters at Major Sources.	Delivered Fuel Prices to Industrial and Commercial Clients.	Department of Energy, EIA. Annual Energy Outlook 2009. Table 2. Energy Consumption by Sector	MACT Floor Analysis for the Industrial, Commercial, Institutional Boilers National Emission Standards for Hazardous Air Pollutants â€“ Area Source.	New Unit Analysis Industrial, Commercial, and Institutional Boilers National Emission Standards for Hazardous Air Pollutants â€“ Area Source.	Methodology for Estimating Control Costs for Industrial, Commercial, Institutional Boilers National Emission Standards for Hazardous Air Pollutants â€“ Area Source.	Methodology for Estimating Control Costs for Industrial, Commercial, Institutional Boilers and Process Heaters National Emission Standards for Hazardous Air Pollutants â€“ Major Source.	Development of Baseline Emission Factors for Boilers and Process Heaters at Commercial, Industrial and Institutional Facilities.	Methodology for Developing Model Units for Industrial, Commercial, and Institutional Boilers National Emission Standards for Hazardous Air Pollutants â€“ Area Source.	Department of Energy. Energy Information Administration. Annual Energy Outlook	Institute. Sector-Based Based Pollution Prevention: Toxic Reductions through Energy Efficiency and Conservation Among Industrial Boilers.
Sector 00: EC0700A1: All sectors: Geographic Area Series: Economy-Wide Key Statistics: 2007	0.29230769230769227	0.3125	0.3125	0.3125	0.3125	0.30000000000000004	0.31343283582089554	0.37254901960784315	0.31343283582089554	0.32307692307692304	0.3125	0.12121212121212122	0.25	0.3571428571428571	0.32307692307692304	0.3125	0.12121212121212122	0.3125	0.12121212121212122	0.5555555555555556	0.3448275862068966	0.34615384615384615	0.3448275862068966	0.33333333333333337	0.3584905660377359	0.3448275862068966	0.4693877551020408	0.3571428571428571	0.37037037037037035	0.3220338983050848	0.3538461538461538	0.40740740740740744	0.4893617021276596	0.4893617021276596	0.38888888888888884	0.5087719298245614	0.6086956521739131	0.5172413793103448	0.25	0.25	0.1636363636363637	0.4285714285714286	0.4	0.4285714285714286	0.3571428571428571	0.4193548387096774	0.37254901960784315	0.37254901960784315	0.37254901960784315	0.37254901960784315	0.34328358208955223	0.34545454545454546	0.5121951219512195	0.46031746031746035	0.3571428571428571	0.3076923076923077	0.375	0.375	0.3571428571428571	0.36170212765957444	0.36	0.34328358208955223	0.37254901960784315	0.36585365853658536	0.3548387096774194	0.43333333333333335	0.4509803921568627	0.32258064516129037	0.39682539682539686	0.4098360655737705	0.3548387096774194	0.3650793650793651	0.4385964912280702	0.36363636363636365	0.37037037037037035	0.29032258064516125
Sector 00: EC0700A1: All sectors: Geographic Area Series: Economy-Wide Key Statistics: 2007	0.29230769230769227	0.3125	0.3125	0.3125	0.3125	0.30000000000000004	0.31343283582089554	0.37254901960784315	0.31343283582089554	0.32307692307692304	0.3125	0.12121212121212122	0.25	0.3571428571428571	0.32307692307692304	0.3125	0.12121212121212122	0.3125	0.12121212121212122	0.5555555555555556	0.3448275862068966	0.34615384615384615	0.3448275862068966	0.33333333333333337	0.3584905660377359	0.3448275862068966	0.4693877551020408	0.3571428571428571	0.37037037037037035	0.3220338983050848	0.3538461538461538	0.40740740740740744	0.4893617021276596	0.4893617021276596	0.38888888888888884	0.5087719298245614	0.6086956521739131	0.5172413793103448	0.25	0.25	0.1636363636363637	0.4285714285714286	0.4	0.4285714285714286	0.3571428571428571	0.4193548387096774	0.37254901960784315	0.37254901960784315	0.37254901960784315	0.37254901960784315	0.34328358208955223	0.34545454545454546	0.5121951219512195	0.46031746031746035	0.3571428571428571	0.3076923076923077	0.375	0.375	0.3571428571428571	0.36170212765957444	0.36	0.34328358208955223	0.37254901960784315	0.36585365853658536	0.3548387096774194	0.43333333333333335	0.4509803921568627	0.32258064516129037	0.39682539682539686	0.4098360655737705	0.3548387096774194	0.3650793650793651	0.4385964912280702	0.36363636363636365	0.37037037037037035	0.29032258064516125
Sector 00: EC0700A1: All sectors: Geographic Area Series: Economy-Wide Key Statistics: 2007.	0.303030303030303	0.32307692307692304	0.32307692307692304	0.32307692307692304	0.32307692307692304	0.3114754098360656	0.32352941176470584	0.34615384615384615	0.32352941176470584	0.33333333333333337	0.32307692307692304	0.13432835820895528	0.23287671232876717	0.33333333333333337	0.33333333333333337	0.32307692307692304	0.13432835820895528	0.32307692307692304	0.13432835820895528	0.5217391304347826	0.3220338983050848	0.3207547169811321	0.3220338983050848	0.34615384615384615	0.33333333333333337	0.3220338983050848	0.48	0.33333333333333337	0.34545454545454546	0.30000000000000004	0.33333333333333337	0.38181818181818183	0.45833333333333337	0.45833333333333337	0.36986301369863017	0.48275862068965514	0.574468085106383	0.4915254237288136	0.26315789473684215	0.26315789473684215	0.1785714285714286	0.4385964912280702	0.4098360655737705	0.4	0.33333333333333337	0.39682539682539686	0.34615384615384615	0.34615384615384615	0.34615384615384615	0.34615384615384615	0.32352941176470584	0.3214285714285714	0.5238095238095238	0.4375	0.33333333333333337	0.28301886792452835	0.34693877551020413	0.34693877551020413	0.33333333333333337	0.375	0.37254901960784315	0.32352941176470584	0.34615384615384615	0.3493975903614458	0.33333333333333337	0.4098360655737705	0.42307692307692313	0.3015873015873016	0.375	0.3870967741935484	0.33333333333333337	0.34375	0.4137931034482759	0.34328358208955223	0.34545454545454546	0.2698412698412699
Sector 31: Annual Survey of Manufactures: General Statistics: Statistics for Industry Groups and Industries: 2006 and 2005	0.28125	0.3015873015873016	0.3015873015873016	0.3015873015873016	0.3015873015873016	0.288135593220339	0.2727272727272727	0.4	0.2727272727272727	0.21875	0.3015873015873016	0.32307692307692304	0.2676056338028169	0.38181818181818183	0.21875	0.3015873015873016	0.32307692307692304	0.3015873015873016	0.32307692307692304	0.5	0.33333333333333337	0.37254901960784315	0.4035087719298246	0.43999999999999995	0.34615384615384615	0.368421052631579	0.5	0.4181818181818182	0.3584905660377359	0.4137931034482759	0.34375	0.4716981132075472	0.5217391304347826	0.5217391304347826	0.352112676056338	0.3928571428571429	0.5555555555555556	0.4035087719298246	0.2727272727272727	0.2727272727272727	0.2962962962962963	0.34545454545454546	0.35593220338983056	0.5	0.38181818181818183	0.4098360655737705	0.4	0.4	0.4	0.4	0.2727272727272727	0.33333333333333337	0.5	0.3548387096774194	0.34545454545454546	0.33333333333333337	0.44680851063829785	0.44680851063829785	0.34545454545454546	0.4347826086956522	0.34693877551020413	0.36363636363636365	0.43999999999999995	0.33333333333333337	0.3770491803278688	0.35593220338983056	0.4	0.34426229508196726	0.3870967741935484	0.4	0.3770491803278688	0.3870967741935484	0.3928571428571429	0.3538461538461538	0.3584905660377359	0.34426229508196726
Sector 31: EC0731I1: Manufacturing: Industry Series: Detailed Statistics by Industry for the U.S.: 2007	0.19402985074626866	0.2727272727272727	0.2727272727272727	0.2727272727272727	0.2727272727272727	0.29032258064516125	0.2753623188405797	0.3584905660377359	0.2753623188405797	0.28358208955223885	0.2727272727272727	0.2941176470588235	0.1351351351351351	0.27586206896551724	0.28358208955223885	0.2727272727272727	0.2941176470588235	0.2727272727272727	0.2941176470588235	0.5319148936170213	0.33333333333333337	0.2592592592592593	0.30000000000000004	0.3584905660377359	0.2727272727272727	0.3666666666666667	0.4509803921568627	0.3448275862068966	0.3214285714285714	0.3770491803278688	0.25373134328358204	0.4642857142857143	0.5102040816326531	0.5102040816326531	0.2702702702702703	0.3220338983050848	0.5	0.33333333333333337	0.27586206896551724	0.27586206896551724	0.26315789473684215	0.3793103448275862	0.3870967741935484	0.37254901960784315	0.27586206896551724	0.3125	0.3584905660377359	0.3584905660377359	0.3584905660377359	0.3584905660377359	0.24637681159420288	0.368421052631579	0.5348837209302326	0.29230769230769227	0.3448275862068966	0.37037037037037035	0.43999999999999995	0.43999999999999995	0.3448275862068966	0.4693877551020408	0.42307692307692313	0.30434782608695654	0.39622641509433965	0.2857142857142857	0.28125	0.32258064516129037	0.3584905660377359	0.25	0.32307692307692304	0.33333333333333337	0.28125	0.29230769230769227	0.35593220338983056	0.2647058823529411	0.3214285714285714	0.28125
Sector 31: EC0731I1: Manufacturing: Industry Series: Detailed Statistics by Industry for the United States: 2007	0.18181818181818177	0.2615384615384615	0.2615384615384615	0.2615384615384615	0.2615384615384615	0.2786885245901639	0.2647058823529411	0.3846153846153846	0.2647058823529411	0.2727272727272727	0.2615384615384615	0.28358208955223885	0.15068493150684936	0.29824561403508776	0.2727272727272727	0.2615384615384615	0.28358208955223885	0.2615384615384615	0.28358208955223885	0.5652173913043479	0.35593220338983056	0.28301886792452835	0.3220338983050848	0.34615384615384615	0.2962962962962963	0.38983050847457623	0.43999999999999995	0.368421052631579	0.34545454545454546	0.4	0.2727272727272727	0.49090909090909096	0.5416666666666667	0.5416666666666667	0.28767123287671237	0.3448275862068966	0.5319148936170213	0.35593220338983056	0.26315789473684215	0.26315789473684215	0.25	0.368421052631579	0.3770491803278688	0.4	0.29824561403508776	0.33333333333333337	0.3846153846153846	0.3846153846153846	0.3846153846153846	0.3846153846153846	0.2647058823529411	0.3928571428571429	0.5238095238095238	0.3125	0.368421052631579	0.39622641509433965	0.4693877551020408	0.4693877551020408	0.368421052631579	0.45833333333333337	0.4117647058823529	0.32352941176470584	0.42307692307692313	0.3012048192771084	0.3015873015873016	0.34426229508196726	0.3846153846153846	0.2698412698412699	0.34375	0.3548387096774194	0.3015873015873016	0.3125	0.3793103448275862	0.28358208955223885	0.34545454545454546	0.3015873015873016
Sector 31: EC0731I1: Manufacturing: Industry Series: Detailed Statistics by Industry for the United States: 2007	0.18181818181818177	0.2615384615384615	0.2615384615384615	0.2615384615384615	0.2615384615384615	0.2786885245901639	0.2647058823529411	0.3846153846153846	0.2647058823529411	0.2727272727272727	0.2615384615384615	0.28358208955223885	0.15068493150684936	0.29824561403508776	0.2727272727272727	0.2615384615384615	0.28358208955223885	0.2615384615384615	0.28358208955223885	0.5652173913043479	0.35593220338983056	0.28301886792452835	0.3220338983050848	0.34615384615384615	0.2962962962962963	0.38983050847457623	0.43999999999999995	0.368421052631579	0.34545454545454546	0.4	0.2727272727272727	0.49090909090909096	0.5416666666666667	0.5416666666666667	0.28767123287671237	0.3448275862068966	0.5319148936170213	0.35593220338983056	0.26315789473684215	0.26315789473684215	0.25	0.368421052631579	0.3770491803278688	0.4	0.29824561403508776	0.33333333333333337	0.3846153846153846	0.3846153846153846	0.3846153846153846	0.3846153846153846	0.2647058823529411	0.3928571428571429	0.5238095238095238	0.3125	0.368421052631579	0.39622641509433965	0.4693877551020408	0.4693877551020408	0.368421052631579	0.45833333333333337	0.4117647058823529	0.32352941176470584	0.42307692307692313	0.3012048192771084	0.3015873015873016	0.34426229508196726	0.3846153846153846	0.2698412698412699	0.34375	0.3548387096774194	0.3015873015873016	0.3125	0.3793103448275862	0.28358208955223885	0.34545454545454546	0.3015873015873016
Sector 31: Manufacturing: Geographic Area Series: Industry Statistics for the States, Metropolitan and Micropolitan Statistical Areas, Counties, and Places: 2002	0.21212121212121215	0.2615384615384615	0.2615384615384615	0.2615384615384615	0.2615384615384615	0.24590163934426235	0.1470588235294118	0.34615384615384615	0.1470588235294118	0.21212121212121215	0.2615384615384615	0.28358208955223885	0.23287671232876717	0.368421052631579	0.21212121212121215	0.2615384615384615	0.28358208955223885	0.2615384615384615	0.28358208955223885	0.4782608695652174	0.288135593220339	0.3584905660377359	0.38983050847457623	0.34615384615384615	0.2962962962962963	0.35593220338983056	0.48	0.33333333333333337	0.3090909090909091	0.30000000000000004	0.2727272727272727	0.4545454545454546	0.5416666666666667	0.5416666666666667	0.28767123287671237	0.3448275862068966	0.574468085106383	0.35593220338983056	0.26315789473684215	0.26315789473684215	0.2142857142857143	0.33333333333333337	0.3114754098360656	0.43999999999999995	0.368421052631579	0.33333333333333337	0.34615384615384615	0.34615384615384615	0.34615384615384615	0.34615384615384615	0.23529411764705888	0.3214285714285714	0.5238095238095238	0.28125	0.29824561403508776	0.28301886792452835	0.4285714285714286	0.4285714285714286	0.29824561403508776	0.41666666666666663	0.2941176470588235	0.23529411764705888	0.42307692307692313	0.27710843373493976	0.23809523809523814	0.2786885245901639	0.3846153846153846	0.2698412698412699	0.28125	0.32258064516129037	0.23809523809523814	0.25	0.3448275862068966	0.25373134328358204	0.34545454545454546	0.2698412698412699
State Electricity Profiles 2007	0.4716981132075472	0.46153846153846156	0.46153846153846156	0.46153846153846156	0.46153846153846156	0.33333333333333337	0.49090909090909096	0.4358974358974359	0.49090909090909096	0.5094339622641509	0.46153846153846156	0.4444444444444444	0.43333333333333335	0.36363636363636365	0.5094339622641509	0.46153846153846156	0.4444444444444444	0.46153846153846156	0.4444444444444444	0.4545454545454546	0.3913043478260869	0.4	0.4782608695652174	0.4358974358974359	0.41463414634146345	0.4782608695652174	0.45945945945945943	0.40909090909090906	0.38095238095238093	0.44680851063829785	0.4339622641509434	0.5714285714285714	0.4285714285714286	0.4285714285714286	0.5666666666666667	0.5555555555555556	0.4117647058823529	0.6086956521739131	0.36363636363636365	0.36363636363636365	0.34883720930232553	0.4545454545454546	0.5416666666666667	0.4054054054054054	0.36363636363636365	0.48	0.4358974358974359	0.4358974358974359	0.4358974358974359	0.4358974358974359	0.4181818181818182	0.39534883720930236	0.5172413793103448	0.5294117647058824	0.31818181818181823	0.35	0.33333333333333337	0.33333333333333337	0.31818181818181823	0.3142857142857143	0.42105263157894735	0.4545454545454546	0.33333333333333337	0.5428571428571429	0.4	0.41666666666666663	0.4358974358974359	0.36	0.4117647058823529	0.3877551020408163	0.4	0.4117647058823529	0.4222222222222223	0.4444444444444444	0.4285714285714286	0.4
using American FactFinder, Sector 00: EC0700A1: All sectors: Geographic Area Series: Economy-Wide Key Statistics: 2007 .	0.2753623188405797	0.2941176470588235	0.2941176470588235	0.2941176470588235	0.2941176470588235	0.3125	0.2676056338028169	0.34545454545454546	0.2676056338028169	0.30434782608695654	0.2941176470588235	0.11428571428571432	0.21052631578947367	0.30000000000000004	0.30434782608695654	0.2941176470588235	0.11428571428571432	0.2941176470588235	0.11428571428571432	0.4693877551020408	0.32258064516129037	0.3214285714285714	0.32258064516129037	0.38181818181818183	0.33333333333333337	0.32258064516129037	0.4716981132075472	0.33333333333333337	0.3448275862068966	0.23809523809523814	0.30434782608695654	0.3793103448275862	0.4901960784313726	0.4901960784313726	0.3421052631578947	0.4426229508196722	0.6	0.4516129032258065	0.2666666666666667	0.2666666666666667	0.18644067796610164	0.3666666666666667	0.34375	0.39622641509433965	0.30000000000000004	0.4242424242424242	0.34545454545454546	0.34545454545454546	0.34545454545454546	0.34545454545454546	0.295774647887324	0.3220338983050848	0.5555555555555556	0.4029850746268657	0.30000000000000004	0.2857142857142857	0.3846153846153846	0.3846153846153846	0.30000000000000004	0.4117647058823529	0.33333333333333337	0.295774647887324	0.38181818181818183	0.3023255813953488	0.303030303030303	0.375	0.38181818181818183	0.2727272727272727	0.31343283582089554	0.3538461538461538	0.303030303030303	0.31343283582089554	0.34426229508196726	0.3142857142857143	0.3448275862068966	0.2727272727272727
Industrial Production and Capacity Utilization: Capacity Utilization	0.38181818181818183	0.33333333333333337	0.33333333333333337	0.33333333333333337	0.33333333333333337	0.4	0.368421052631579	0.41463414634146345	0.368421052631579	0.38181818181818183	0.33333333333333337	0.4285714285714286	0.4193548387096774	0.30434782608695654	0.38181818181818183	0.33333333333333337	0.4285714285714286	0.33333333333333337	0.4285714285714286	0.37142857142857144	0.33333333333333337	0.38095238095238093	0.41666666666666663	0.36585365853658536	0.3023255813953488	0.33333333333333337	0.4871794871794872	0.3913043478260869	0.2727272727272727	0.34693877551020413	0.34545454545454546	0.5	0.5135135135135135	0.5135135135135135	0.4193548387096774	0.4042553191489362	0.5555555555555556	0.41666666666666663	0.30434782608695654	0.30434782608695654	0.28888888888888886	0.3913043478260869	0.4	0.4358974358974359	0.30434782608695654	0.5384615384615384	0.41463414634146345	0.41463414634146345	0.41463414634146345	0.41463414634146345	0.4035087719298246	0.37777777777777777	0.4838709677419355	0.3584905660377359	0.3913043478260869	0.33333333333333337	0.42105263157894735	0.42105263157894735	0.3913043478260869	0.4054054054054054	0.30000000000000004	0.33333333333333337	0.41463414634146345	0.4722222222222222	0.34615384615384615	0.31999999999999995	0.2682926829268293	0.42307692307692313	0.3584905660377359	0.2941176470588235	0.34615384615384615	0.3584905660377359	0.3191489361702128	0.3214285714285714	0.36363636363636365	0.34615384615384615
Industrial Production and Capacity Utilization: Capacity Utilization	0.38181818181818183	0.33333333333333337	0.33333333333333337	0.33333333333333337	0.33333333333333337	0.4	0.368421052631579	0.41463414634146345	0.368421052631579	0.38181818181818183	0.33333333333333337	0.4285714285714286	0.4193548387096774	0.30434782608695654	0.38181818181818183	0.33333333333333337	0.4285714285714286	0.33333333333333337	0.4285714285714286	0.37142857142857144	0.33333333333333337	0.38095238095238093	0.41666666666666663	0.36585365853658536	0.3023255813953488	0.33333333333333337	0.4871794871794872	0.3913043478260869	0.2727272727272727	0.34693877551020413	0.34545454545454546	0.5	0.5135135135135135	0.5135135135135135	0.4193548387096774	0.4042553191489362	0.5555555555555556	0.41666666666666663	0.30434782608695654	0.30434782608695654	0.28888888888888886	0.3913043478260869	0.4	0.4358974358974359	0.30434782608695654	0.5384615384615384	0.41463414634146345	0.41463414634146345	0.41463414634146345	0.41463414634146345	0.4035087719298246	0.37777777777777777	0.4838709677419355	0.3584905660377359	0.3913043478260869	0.33333333333333337	0.42105263157894735	0.42105263157894735	0.3913043478260869	0.4054054054054054	0.30000000000000004	0.33333333333333337	0.41463414634146345	0.4722222222222222	0.34615384615384615	0.31999999999999995	0.2682926829268293	0.42307692307692313	0.3584905660377359	0.2941176470588235	0.34615384615384615	0.3584905660377359	0.3191489361702128	0.3214285714285714	0.36363636363636365	0.34615384615384615
Industrial Production and Capacity Utilization: Capacity Utilization	0.38181818181818183	0.33333333333333337	0.33333333333333337	0.33333333333333337	0.33333333333333337	0.4	0.368421052631579	0.41463414634146345	0.368421052631579	0.38181818181818183	0.33333333333333337	0.4285714285714286	0.4193548387096774	0.30434782608695654	0.38181818181818183	0.33333333333333337	0.4285714285714286	0.33333333333333337	0.4285714285714286	0.37142857142857144	0.33333333333333337	0.38095238095238093	0.41666666666666663	0.36585365853658536	0.3023255813953488	0.33333333333333337	0.4871794871794872	0.3913043478260869	0.2727272727272727	0.34693877551020413	0.34545454545454546	0.5	0.5135135135135135	0.5135135135135135	0.4193548387096774	0.4042553191489362	0.5555555555555556	0.41666666666666663	0.30434782608695654	0.30434782608695654	0.28888888888888886	0.3913043478260869	0.4	0.4358974358974359	0.30434782608695654	0.5384615384615384	0.41463414634146345	0.41463414634146345	0.41463414634146345	0.41463414634146345	0.4035087719298246	0.37777777777777777	0.4838709677419355	0.3584905660377359	0.3913043478260869	0.33333333333333337	0.42105263157894735	0.42105263157894735	0.3913043478260869	0.4054054054054054	0.30000000000000004	0.33333333333333337	0.41463414634146345	0.4722222222222222	0.34615384615384615	0.31999999999999995	0.2682926829268293	0.42307692307692313	0.3584905660377359	0.2941176470588235	0.34615384615384615	0.3584905660377359	0.3191489361702128	0.3214285714285714	0.36363636363636365	0.34615384615384615
Industrial Production and Capacity Utilization: Electric Power Use: Manufacturing and Mining	0.24590163934426235	0.30000000000000004	0.30000000000000004	0.30000000000000004	0.30000000000000004	0.3571428571428571	0.3015873015873016	0.3191489361702128	0.3015873015873016	0.3114754098360656	0.30000000000000004	0.3870967741935484	0.32352941176470584	0.2692307692307693	0.3114754098360656	0.30000000000000004	0.3870967741935484	0.30000000000000004	0.3870967741935484	0.41463414634146345	0.2592592592592593	0.29166666666666663	0.37037037037037035	0.276595744680851	0.26530612244897955	0.33333333333333337	0.4666666666666667	0.3076923076923077	0.31999999999999995	0.2727272727272727	0.24590163934426235	0.4	0.4883720930232558	0.4883720930232558	0.3529411764705882	0.39622641509433965	0.5714285714285714	0.40740740740740744	0.2692307692307693	0.2692307692307693	0.2549019607843137	0.3846153846153846	0.3214285714285714	0.37777777777777777	0.2692307692307693	0.48275862068965514	0.3191489361702128	0.3191489361702128	0.3191489361702128	0.3191489361702128	0.3015873015873016	0.37254901960784315	0.5135135135135135	0.288135593220339	0.3076923076923077	0.25	0.36363636363636365	0.36363636363636365	0.3076923076923077	0.34883720930232553	0.30434782608695654	0.23809523809523814	0.36170212765957444	0.3846153846153846	0.24137931034482762	0.25	0.3191489361702128	0.3448275862068966	0.288135593220339	0.22807017543859653	0.24137931034482762	0.2542372881355932	0.28301886792452835	0.22580645161290325	0.28	0.27586206896551724
Industrial Production and Capacity Utilization: Industrial Capacity	0.38181818181818183	0.33333333333333337	0.33333333333333337	0.33333333333333337	0.33333333333333337	0.4	0.368421052631579	0.41463414634146345	0.368421052631579	0.38181818181818183	0.33333333333333337	0.4285714285714286	0.4193548387096774	0.30434782608695654	0.38181818181818183	0.33333333333333337	0.4285714285714286	0.33333333333333337	0.4285714285714286	0.37142857142857144	0.33333333333333337	0.38095238095238093	0.41666666666666663	0.36585365853658536	0.3023255813953488	0.33333333333333337	0.4871794871794872	0.3913043478260869	0.2727272727272727	0.34693877551020413	0.34545454545454546	0.5	0.5135135135135135	0.5135135135135135	0.4193548387096774	0.4042553191489362	0.5555555555555556	0.41666666666666663	0.30434782608695654	0.30434782608695654	0.28888888888888886	0.3913043478260869	0.4	0.4358974358974359	0.30434782608695654	0.5384615384615384	0.41463414634146345	0.41463414634146345	0.41463414634146345	0.41463414634146345	0.4035087719298246	0.37777777777777777	0.4838709677419355	0.3584905660377359	0.3913043478260869	0.33333333333333337	0.42105263157894735	0.42105263157894735	0.3913043478260869	0.4054054054054054	0.30000000000000004	0.33333333333333337	0.41463414634146345	0.4722222222222222	0.34615384615384615	0.31999999999999995	0.2682926829268293	0.42307692307692313	0.3584905660377359	0.2941176470588235	0.34615384615384615	0.3584905660377359	0.3191489361702128	0.3214285714285714	0.36363636363636365	0.34615384615384615
