	Industrywide Uses of Chlorine by Industry 27 22 Use of Caustic Soda by Industry 27 23 Use of Caustic Potash by Industry  28 24 Income or Loss as Net a Percentage of Sales Basic Chemicals Resins and Synthetics NAICS 3251 and 3252 2000–2005  214 31 Capital Cost Factor ton Cl2 produced vs Capacity  35 41 Price Trends Alkalis and Chlorine Manufacturing	Oxychem Completes Taft	Chlorine Ensuring Rail Transportation Safety”	Potassium Carbonate Handbook” httpwwwarmandproductscompdfsk2so3P112pdf Accessed	ASHTA Chemicals Inc 2009a About ASHTA httpwwwashtachemicalscomaboutfshtm	Inc 2009b Potassium Hydroxide	Investment under Uncertainty	Energy Information Administration	Potassium Hydroxide” httpwwwercoworldwidecom productspotassiumhydroxideasp Accessed	Distributional Effects of Environmental and Energy Policy An Introduction	Potassium Carbonate Faces Pressures from the Video Glass” Chemical Market Reporter	Site Fact Sheet Ashtabula Complex” httpwwwmillenniumchemcomNRrdonlyres6AE8BF59D7CD4768951F37AE6F1C73210SiteFactSheetAshtabulapdf Accessed	Occidental Chemical Corporation 2008a “OxyChem Caustic Potash Handbook” httpwwwoxycomOurBusinesseschemicalsPageschemproductsbasicalkaliaspx alkkoh Accessed	Occidental Chemical Corporation 2008b “OxyChem Caustic Soda Handbook” httpwwwoxycomOurBusinesseschemicalsDocumentscausticsodacausticpdf	Form 10K405 Filed	Form 10K Filed	BBT Capital Markets Presentation Manufacturing and Materials Conference” httpwwwolincom Accessed	Bill Would End Mercury Use at Chlorine Plants” httpchronicleaugustacomstories031308met190792shtml Accessed	Accessed	Chlorine Product Bulletin” httpcorporateportalppgcomNAChemicalsCADProductInformationBull EnglishEN Accessed	PPG Reaches Agreement with State of Maryland” PPG News Release httpcorporateportalppgcomPPGNewsroomNews20090811htm	The Effects of Environmental Regulation on Technology Diffusion The Case of	Special Focus on Chlorine”	The Innovation Group TIG	of Labor Statistics	of Labor Statistics 2009b LAU Local Area Unemployment Statistics Series Id	413 US Bureau of Labor Statistics	Quarterly Financial Report for Manufacturing Mining and Trade Corporations 1st Quarter reports httpwwwcensusgovprodwwwabsqfrmmhtml Accessed	Economic Census	httpfactfindercensusgovservletDatasetMainPageServletprogramECNtabIdE CN1submenuIddatasets4langents24636668839 Accessed	Bureau generated by RTI International using American FactFinder “Sector 31 Manufacturing Industry Series Industry Statistics by Employment Size	Department of Transportation	Environmental Protection Agency EPA	Federal Trade Commission FTC	Soda Ash httpmineralsusgsgovmineralspubs commoditysodaashmcs2009sodaapdf Accessed August 4	Lung Cancer Cardiopulmonary Mortality and Longterm Exposure to Fine Particulate Air Pollution”	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the US” Environ Sci Technol	Environmental Protection Agency—Science Advisory Board US	The Value of a Statistical Life A Critical Review of Market Estimates throughout the World”	Environmental Protection Agency RE Docket No EPAHQOAR20020017—National Emission Standards for Hazardous Air Pollutants	EPA requested documentation of these emission estimates using their authority under section 114 of the Clean Air Act	EPAHQOAR20020017—National Emission Standards for Hazardous Air Pollutants Mercury Emissions from Mercury Cell ChlorAlkali Plants—Memo “Updated Cost Impacts Associated with the Conversion from Chlorine Production Utilizing Mercury Cell ChlorAlkali Technology to Membrane Cell Technology” from	B4 Table B3 Power Company Emission Factors FuelCoal Short tons per kWh	Available on the internet at httpwwwepagovCAIRpdfsfinaltech01pdf US Environmental Protection Agency	Available on the internet at httpwwwepagovcleanenergydocumentsegridzipseGRID2007TechnicalSupportDoc umentpdf US Environmental Protection Agency
ASHTA to Build ChlorineKOH Plant in Arkansas	0.6	0.6206896551724138	0.53125	0.5142857142857142	0.5151515151515151	0.59375	0.6551724137931034	0.6206896551724138	0.53125	0.5757575757575757	0.5555555555555556	0.653061224489796	0.4736842105263158	0.5128205128205128	0.7241379310344828	0.7037037037037037	0.4242424242424242	0.5952380952380952	0.8333333333333334	0.5142857142857142	0.6428571428571428	0.5625	0.5517241379310345	0.5925925925925926	0.7037037037037037	0.6285714285714286	0.6451612903225806	0.5789473684210527	0.6923076923076923	0.5952380952380952	0.6097560975609756	0.6296296296296297	0.6206896551724138	0.52	0.5714285714285714	0.5833333333333333	0.5609756097560976	0.5454545454545454	0.5526315789473684	0.5714285714285714	0.5	0.5714285714285714	0.47058823529411764	0.5789473684210527	0.5952380952380952
Bill Would End Mercury Use at Chlorine Plants	0.5918367346938775	0.6071428571428572	0.5161290322580645	0.5833333333333333	0.6285714285714286	0.5333333333333333	0.48	0.5555555555555556	0.5161290322580645	0.4666666666666667	0.5	0.6170212765957447	0.5384615384615384	0.575	0.7586206896551724	0.7407407407407407	0.4545454545454546	0.38888888888888884	0.8260869565217391	0.4545454545454546	0.6	0.4482758620689655	0.5357142857142857	0.6296296296296297	0.6923076923076923	0.5757575757575757	0.5862068965517242	0.5277777777777778	0.5652173913043479	0.55	0.5641025641025641	0.6666666666666667	0.5	0.56	0.5588235294117647	0.4375	0.4736842105263158	0.43333333333333335	0.5405405405405406	0.627906976744186	0.3793103448275862	0.5918367346938775	0.40625	0.48571428571428577	0.55
Chemical Engineering Plant Cost Index	0.6326530612244898	0.52	0.5333333333333333	0.5588235294117647	0.5625	0.4444444444444444	0.5	0.3913043478260869	0.48275862068965514	0.37037037037037035	0.5151515151515151	0.6304347826086957	0.5135135135135135	0.5897435897435898	0.6923076923076923	0.6666666666666667	0.46875	0.5263157894736843	0.8095238095238095	0.3666666666666667	0.5789473684210527	0.40740740740740744	0.5555555555555556	0.6	0.6666666666666667	0.5483870967741935	0.7	0.5428571428571429	0.5238095238095238	0.4864864864864865	0.5789473684210527	0.5833333333333333	0.3913043478260869	0.4545454545454546	0.53125	0.4	0.4444444444444444	0.4482758620689655	0.5555555555555556	0.6097560975609756	0.33333333333333337	0.6041666666666667	0.5151515151515151	0.40625	0.5263157894736843
Chlorine Gas from South Carolina Train Crash Kills Nine	0.6326530612244898	0.52	0.4285714285714286	0.6	0.4666666666666667	0.6451612903225806	0.6153846153846154	0.5769230769230769	0.625	0.5806451612903225	0.5151515151515151	0.6304347826086957	0.6585365853658536	0.5897435897435898	0.6923076923076923	0.6666666666666667	0.5151515151515151	0.6666666666666667	0.9130434782608696	0.5151515151515151	0.5789473684210527	0.40740740740740744	0.5	0.4782608695652174	0.6086956521739131	0.59375	0.6071428571428572	0.5428571428571429	0.5909090909090908	0.5641025641025641	0.6153846153846154	0.4545454545454546	0.6296296296296297	0.4545454545454546	0.53125	0.6285714285714286	0.5641025641025641	0.6363636363636364	0.5555555555555556	0.6428571428571428	0.5	0.6326530612244898	0.5151515151515151	0.5833333333333333	0.5641025641025641
MarketsNews Release	0.7446808510638299	0.7391304347826086	0.7142857142857143	0.7575757575757576	0.7741935483870968	0.7857142857142857	0.7272727272727273	0.7391304347826086	0.7142857142857143	0.7586206896551724	0.6774193548387097	0.7777777777777778	0.7631578947368421	0.7631578947368421	0.8181818181818181	0.8	0.6774193548387097	0.8	0.8666666666666667	0.7575757575757576	0.6857142857142857	0.7037037037037037	0.76	0.7727272727272727	0.736842105263158	0.7666666666666666	0.76	0.696969696969697	0.85	0.7692307692307692	0.7567567567567568	0.7	0.7391304347826086	0.7	0.78125	0.75	0.8	0.7666666666666666	0.6666666666666667	0.7435897435897436	0.7666666666666666	0.7446808510638299	0.71875	0.7352941176470589	0.7692307692307692
Port Edwards selss School Forest Land to ERCO Worldwide Nekoosa Considers Similar Deal	0.5490196078431373	0.625	0.5833333333333333	0.5641025641025641	0.6052631578947368	0.6388888888888888	0.65625	0.625	0.5833333333333333	0.5428571428571429	0.4864864864864865	0.5416666666666667	0.5581395348837209	0.5238095238095238	0.71875	0.7	0.5263157894736843	0.6	0.8571428571428572	0.4864864864864865	0.5476190476190477	0.48484848484848486	0.5625	0.7272727272727273	0.6551724137931034	0.5945945945945945	0.6857142857142857	0.55	0.6428571428571428	0.5348837209302326	0.6136363636363636	0.6333333333333333	0.5806451612903225	0.5357142857142857	0.6153846153846154	0.5135135135135135	0.5681818181818181	0.5555555555555556	0.4473684210526315	0.5116279069767442	0.5142857142857142	0.5490196078431373	0.4	0.4736842105263158	0.5348837209302326
Portrait of a Polluter	0.7659574468085106	0.6666666666666667	0.6	0.6666666666666667	0.6785714285714286	0.625	0.65	0.6	0.6	0.5416666666666667	0.6206896551724138	0.7727272727272727	0.7222222222222222	0.7222222222222222	0.6842105263157895	0.6470588235294117	0.6206896551724138	0.7297297297297297	0.9333333333333333	0.6206896551724138	0.7142857142857143	0.5833333333333333	0.6363636363636364	0.5555555555555556	0.5625	0.6666666666666667	0.5714285714285714	0.6875	0.7058823529411764	0.6944444444444444	0.7142857142857143	0.5294117647058824	0.5263157894736843	0.6111111111111112	0.6428571428571428	0.6551724137931034	0.6944444444444444	0.6666666666666667	0.696969696969697	0.7027027027027026	0.56	0.7659574468085106	0.6666666666666667	0.6875	0.6944444444444444
Project Summary Waste Minimization and Audit Report Case Studies of Minimization of Mercury Bearing Wastes at a Mercury Cell Chloralkali Plant	0.45999999999999996	0.5757575757575757	0.4571428571428572	0.4871794871794872	0.5263157894736843	0.5945945945945945	0.6060606060606061	0.53125	0.5	0.4571428571428572	0.4054054054054054	0.54	0.45238095238095233	0.4883720930232558	0.7777777777777778	0.7647058823529411	0.3142857142857143	0.4285714285714286	0.8333333333333334	0.4054054054054054	0.4390243902439024	0.4411764705882353	0.5588235294117647	0.6764705882352942	0.6875	0.5135135135135135	0.6388888888888888	0.39473684210526316	0.6774193548387097	0.4651162790697675	0.4	0.625	0.53125	0.625	0.41666666666666663	0.43243243243243246	0.4285714285714286	0.4722222222222222	0.41025641025641024	0.4772727272727273	0.38235294117647056	0.45999999999999996	0.4054054054054054	0.39473684210526316	0.4285714285714286
Report Cites PPG Savings on Mercury Process Could Boost Efficiency Phase Out Toxic Discharge at Marshall Plant	0.5	0.5	0.38235294117647056	0.6046511627906976	0.575	0.6052631578947368	0.6176470588235294	0.5882352941176471	0.5526315789473684	0.4285714285714286	0.46153846153846156	0.52	0.5	0.4651162790697675	0.8157894736842105	0.8055555555555556	0.42105263157894735	0.5111111111111111	0.875	0.42105263157894735	0.4883720930232558	0.3125	0.5714285714285714	0.5625	0.696969696969697	0.6	0.6486486486486487	0.41025641025641024	0.6875	0.4418604651162791	0.45238095238095233	0.59375	0.5454545454545454	0.6363636363636364	0.4736842105263158	0.4473684210526315	0.36585365853658536	0.4864864864864865	0.46341463414634143	0.48888888888888893	0.4444444444444444	0.47058823529411764	0.46153846153846156	0.41025641025641024	0.36585365853658536
Special Focus on Chlorine	0.6595744680851063	0.5652173913043479	0.46153846153846156	0.59375	0.5	0.6428571428571428	0.6086956521739131	0.6799999999999999	0.5714285714285714	0.6206896551724138	0.5	0.627906976744186	0.6216216216216216	0.5833333333333333	0.6956521739130435	0.6666666666666667	0.5483870967741935	0.631578947368421	0.8333333333333334	0.5483870967741935	0.6486486486486487	0.5	0.1578947368421053	0.5238095238095238	0.6	0.5862068965517242	0.6	0.53125	0.5	0.5945945945945945	0.6111111111111112	0.5714285714285714	0.625	0.42105263157894735	0.5172413793103448	0.5333333333333333	0.5555555555555556	0.6333333333333333	0.6285714285714286	0.7073170731707317	0.5357142857142857	0.6875	0.4482758620689655	0.5757575757575757	0.631578947368421
Tessenderlo Upgrades Chlorine Expands VCM PVC	0.64	0.5925925925925926	0.5	0.6486486486486487	0.6571428571428571	0.65625	0.6785714285714286	0.5925925925925926	0.59375	0.59375	0.5294117647058824	0.6938775510204082	0.6	0.6666666666666667	0.75	0.7307692307692308	0.48484848484848486	0.5384615384615384	0.8695652173913043	0.5294117647058824	0.625	0.5333333333333333	0.5714285714285714	0.6153846153846154	0.7777777777777778	0.6470588235294117	0.75	0.5555555555555556	0.6666666666666667	0.575	0.625	0.6	0.5925925925925926	0.4782608695652174	0.6285714285714286	0.46875	0.45945945945945943	0.5625	0.5675675675675675	0.7111111111111111	0.5161290322580645	0.6122448979591837	0.5714285714285714	0.5142857142857142	0.575
Uhde Opens New Electrolysis Plant	0.6122448979591837	0.5384615384615384	0.5483870967741935	0.5714285714285714	0.6176470588235294	0.5666666666666667	0.52	0.5384615384615384	0.4482758620689655	0.5	0.5714285714285714	0.6086956521739131	0.5263157894736843	0.5641025641025641	0.75	0.7307692307692308	0.5294117647058824	0.5384615384615384	0.8181818181818181	0.48484848484848486	0.5135135135135135	0.5333333333333333	0.5714285714285714	0.6153846153846154	0.6799999999999999	0.5161290322580645	0.6666666666666667	0.5555555555555556	0.6666666666666667	0.575	0.625	0.6	0.48	0.6	0.5454545454545454	0.5151515151515151	0.5384615384615384	0.4666666666666667	0.641025641025641	0.5853658536585367	0.4666666666666667	0.5531914893617021	0.48484848484848486	0.4242424242424242	0.5
Oxychem Completes Taft LA KOH Conversion	0.5882352941176471	0.31999999999999995	0.5151515151515151	0.5405405405405406	0.4545454545454546	0.5757575757575757	0.5862068965517242	0.5517241379310345	0.46875	0.5151515151515151	0.5789473684210527	0.6122448979591837	0.5	0.5	0.7419354838709677	0.7241379310344828	0.5	0.6136363636363636	0.8461538461538461	0.5405405405405406	0.5952380952380952	0.4	0.5806451612903225	0.5714285714285714	0.6296296296296297	0.48484848484848486	0.6666666666666667	0.4444444444444444	0.6666666666666667	0.5813953488372092	0.5952380952380952	0.5	0.5	0.5555555555555556	0.47058823529411764	0.48571428571428577	0.475	0.5714285714285714	0.5384615384615384	0.5909090909090908	0.48484848484848486	0.56	0.5405405405405406	0.4864864864864865	0.5476190476190477
Potassium Carbonate Faces Pressures from the Video Glass	0.5918367346938775	0.5555555555555556	0.5625	0.4545454545454546	0.5	0.48275862068965514	0.5384615384615384	0.5555555555555556	0.5161290322580645	0.4137931034482759	0.24137931034482762	0.5869565217391304	0.5384615384615384	0.5384615384615384	0.6666666666666667	0.64	0.4545454545454546	0.5853658536585367	0.8260869565217391	0.4545454545454546	0.5641025641025641	0.4482758620689655	0.4814814814814815	0.5769230769230769	0.5833333333333333	0.53125	0.5862068965517242	0.4411764705882353	0.5652173913043479	0.5128205128205128	0.5641025641025641	0.56	0.5555555555555556	0.4347826086956522	0.46875	0.48484848484848486	0.4736842105263158	0.5757575757575757	0.5405405405405406	0.627906976744186	0.3793103448275862	0.62	0.4545454545454546	0.48571428571428577	0.5128205128205128
Distributional Effects of Environmental Energy Policy An Introduction	0.5510204081632653	0.6333333333333333	0.5454545454545454	0.5277777777777778	0.5294117647058824	0.4137931034482759	0.4	0.29166666666666663	0.5	0.0	0.5277777777777778	0.574468085106383	0.525	0.5609756097560976	0.7333333333333334	0.7142857142857143	0.48571428571428577	0.5365853658536586	0.7916666666666666	0.34375	0.55	0.3214285714285714	0.65625	0.6071428571428572	0.6153846153846154	0.4193548387096774	0.6129032258064516	0.4285714285714286	0.6	0.3783783783783784	0.43243243243243246	0.5384615384615384	0.29166666666666663	0.5925925925925926	0.3548387096774194	0.4242424242424242	0.3783783783783784	0.3666666666666667	0.5263157894736843	0.4358974358974359	0.31034482758620685	0.5208333333333333	0.5277777777777778	0.33333333333333337	0.33333333333333337
Chloralkali Market Wire	0.75	0.6363636363636364	0.6296296296296297	0.6875	0.7	0.75	0.7391304347826086	0.6956521739130435	0.6785714285714286	0.7241379310344828	0.6	0.782608695652174	0.7027027027027026	0.7027027027027026	0.7142857142857143	0.6842105263157895	0.6	0.6756756756756757	0.9411764705882353	0.6875	0.7297297297297297	0.6153846153846154	0.6086956521739131	0.6	0.6842105263157895	0.7333333333333334	0.72	0.6666666666666667	0.736842105263158	0.7105263157894737	0.7631578947368421	0.65	0.6363636363636364	0.5789473684210527	0.7096774193548387	0.6774193548387097	0.7105263157894737	0.7333333333333334	0.59375	0.7804878048780488	0.6428571428571428	0.75	0.6	0.7058823529411764	0.775
Estimating the Mortality Risk Reduction and Economic Cobenefits from Controlling Ozone Air Pollution	0.5	0.5483870967741935	0.47058823529411764	0.45945945945945943	0.5405405405405406	0.5294117647058824	0.5806451612903225	0.4482758620689655	0.5142857142857142	0.32258064516129037	0.37142857142857144	0.5510204081632653	0.42500000000000004	0.5	0.7647058823529411	0.75	0.37142857142857144	0.47619047619047616	0.8214285714285714	0.41666666666666663	0.4878048780487805	0.3548387096774194	0.6176470588235294	0.696969696969697	0.6666666666666667	0.5277777777777778	0.6571428571428571	0.36111111111111116	0.6071428571428572	0.4390243902439024	0.41025641025641024	0.6451612903225806	0.4482758620689655	0.6	0.4285714285714286	0.4	0.4	0.48571428571428577	0.42105263157894735	0.41463414634146345	0.29032258064516125	0.4042553191489362	0.45945945945945943	0.36111111111111116	0.4
Estimating the Public Health Benefits of Proposed Air Pollution Regulations	0.5306122448979591	0.6	0.46875	0.4117647058823529	0.4545454545454546	0.4838709677419355	0.5862068965517242	0.4444444444444444	0.4193548387096774	0.31034482758620685	0.4117647058823529	0.5217391304347826	0.42105263157894735	0.5	0.7419354838709677	0.7241379310344828	0.36363636363636365	0.475	0.8	0.3125	0.4871794871794872	0.4	0.5806451612903225	0.6206896551724138	0.6296296296296297	0.48484848484848486	0.5806451612903225	0.4	0.6153846153846154	0.4358974358974359	0.4054054054054054	0.5555555555555556	0.4444444444444444	0.6071428571428572	0.375	0.4411764705882353	0.4358974358974359	0.4375	0.5	0.4878048780487805	0.33333333333333337	0.5	0.4571428571428572	0.3529411764705882	0.39473684210526316
Hidden Costs of EnergyUnpriced Consequences of Energy Production and Use	0.62	0.6071428571428572	0.4666666666666667	0.5	0.5882352941176471	0.48275862068965514	0.48	0.43999999999999995	0.5161290322580645	0.4137931034482759	0.5428571428571429	0.6458333333333333	0.5384615384615384	0.575	0.8	0.7857142857142857	0.5	0.5128205128205128	0.8260869565217391	0.4545454545454546	0.6	0.4482758620689655	0.5862068965517242	0.6296296296296297	0.64	0.53125	0.5862068965517242	0.48571428571428577	0.5652173913043479	0.55	0.5641025641025641	0.56	0.5	0.6153846153846154	0.5151515151515151	0.4375	0.4736842105263158	0.4838709677419355	0.6153846153846154	0.5609756097560976	0.3214285714285714	0.5625	0.5428571428571429	0.4411764705882353	0.5128205128205128
Investment under Uncertainty	0.6595744680851063	0.6799999999999999	0.6666666666666667	0.6363636363636364	0.6451612903225806	0.41666666666666663	0.0	0.4285714285714286	0.5714285714285714	0.4	0.6363636363636364	0.7173913043478262	0.6578947368421053	0.6578947368421053	0.75	0.7272727272727273	0.6363636363636364	0.631578947368421	0.7647058823529411	0.59375	0.6842105263157895	0.5	0.6538461538461539	0.5238095238095238	0.6666666666666667	0.4814814814814815	0.6	0.5757575757575757	0.5789473684210527	0.631578947368421	0.6111111111111112	0.5714285714285714	0.5	0.5714285714285714	0.5172413793103448	0.5806451612903225	0.5555555555555556	0.4814814814814815	0.6666666666666667	0.641025641025641	0.5357142857142857	0.6595744680851063	0.6363636363636364	0.53125	0.5555555555555556
Site Fact Sheet Ashtabula Complex	0.625	0.4347826086956522	0.5666666666666667	0.5454545454545454	0.3928571428571429	0.5862068965517242	0.6538461538461539	0.6666666666666667	0.4642857142857143	0.5666666666666667	0.5	0.5581395348837209	0.5405405405405406	0.5405405405405406	0.7307692307692308	0.7083333333333333	0.5454545454545454	0.625	0.8	0.5454545454545454	0.641025641025641	0.5517241379310345	0.41666666666666663	0.64	0.5909090909090908	0.5333333333333333	0.5925925925925926	0.48484848484848486	0.5714285714285714	0.5526315789473684	0.5675675675675675	0.625	0.6153846153846154	0.5652173913043479	0.4666666666666667	0.4838709677419355	0.4722222222222222	0.625	0.5833333333333333	0.6976744186046512	0.5333333333333333	0.653061224489796	0.4516129032258065	0.5294117647058824	0.5897435897435898
1997 Directory of Chemical Producers	0.5918367346938775	0.5	0.5625	0.5	0.5454545454545454	0.48275862068965514	0.5384615384615384	0.5555555555555556	0.4666666666666667	0.4137931034482759	0.5	0.5227272727272727	0.575	0.5384615384615384	0.6666666666666667	0.64	0.5	0.4736842105263158	0.8260869565217391	0.4545454545454546	0.5263157894736843	0.3928571428571429	0.5862068965517242	0.6785714285714286	0.64	0.53125	0.5862068965517242	0.48571428571428577	0.625	0.4736842105263158	0.6	0.56	0.5555555555555556	0.56	0.46875	0.5294117647058824	0.55	0.5757575757575757	0.5789473684210527	0.525	0.3214285714285714	0.5918367346938775	0.5428571428571429	0.48571428571428577	0.5128205128205128
2009a Producer Price Index Industry Data Series IDPCU PC325181325181	0.52	0.7058823529411764	0.6578947368421053	0.5641025641025641	0.5675675675675675	0.3666666666666667	0.5172413793103448	0.625	0.6216216216216216	0.5428571428571429	0.6666666666666667	0.4782608695652174	0.5581395348837209	0.5238095238095238	0.71875	0.7419354838709677	0.6666666666666667	0.46341463414634143	0.8571428571428572	0.6	0.5476190476190477	0.6111111111111112	0.6470588235294117	0.6875	0.7	0.47058823529411764	0.5625	0.6511627906976745	0.6896551724137931	0.46341463414634143	0.6136363636363636	0.6774193548387097	0.6666666666666667	0.6774193548387097	0.5405405405405406	0.5897435897435898	0.5681818181818181	0.5945945945945945	0.7173913043478262	0.5777777777777777	0.5555555555555556	0.6037735849056604	0.6	0.5128205128205128	0.5348837209302326
2009b LAU Local Area Unemployment Statistics Series ID	0.5510204081632653	0.6333333333333333	0.6285714285714286	0.6052631578947368	0.3870967741935484	0.4137931034482759	0.5185185185185186	0.5357142857142857	0.5882352941176471	0.4516129032258065	0.641025641025641	0.5434782608695652	0.5609756097560976	0.525	0.7333333333333334	0.7142857142857143	0.641025641025641	0.5365853658536586	0.84	0.5675675675675675	0.5128205128205128	0.5757575757575757	0.6129032258064516	0.6551724137931034	0.56	0.11538461538461542	0.5666666666666667	0.5897435897435898	0.7037037037037037	0.5	0.55	0.5384615384615384	0.5357142857142857	0.6428571428571428	0.3548387096774194	0.5555555555555556	0.5365853658536586	0.5151515151515151	0.6666666666666667	0.5813953488372092	0.6	0.5800000000000001	0.5675675675675675	0.4285714285714286	0.42105263157894735
2009c LAU Local Area Unemployment Series ID	0.5714285714285714	0.6206896551724138	0.6176470588235294	0.631578947368421	0.4193548387096774	0.4482758620689655	0.5	0.5185185185185186	0.5757575757575757	0.4838709677419355	0.6666666666666667	0.5652173913043479	0.5853658536585367	0.55	0.7241379310344828	0.7037037037037037	0.631578947368421	0.525	0.8333333333333334	0.5555555555555556	0.5	0.5625	0.6	0.6428571428571428	0.6	0.15384615384615385	0.6	0.6153846153846154	0.6923076923076923	0.525	0.575	0.52	0.5185185185185186	0.6296296296296297	0.3870967741935484	0.5428571428571429	0.5609756097560976	0.5	0.6585365853658536	0.5714285714285714	0.5882352941176471	0.6	0.5945945945945945	0.4571428571428572	0.4473684210526315
2009d Current Employment Statistics CESNational	0.5714285714285714	0.5714285714285714	0.4838709677419355	0.5555555555555556	0.4193548387096774	0.3928571428571429	0.5	0.5185185185185186	0.53125	0.4838709677419355	0.5555555555555556	0.4651162790697675	0.5128205128205128	0.4736842105263158	0.6785714285714286	0.6538461538461539	0.5555555555555556	0.4473684210526315	0.8333333333333334	0.47058823529411764	0.45945945945945943	0.4666666666666667	0.5	0.6428571428571428	0.6538461538461539	0.3448275862068966	0.6451612903225806	0.5405405405405406	0.5217391304347826	0.4473684210526315	0.5384615384615384	0.5769230769230769	0.5185185185185186	0.52	0.33333333333333337	0.4545454545454546	0.525	0.5	0.5897435897435898	0.5	0.4516129032258065	0.5416666666666667	0.47058823529411764	0.4571428571428572	0.4871794871794872
Historic Exchange Rates	0.74	0.625	0.5185185185185186	0.6363636363636364	0.6451612903225806	0.5384615384615384	0.6086956521739131	0.5	0.5714285714285714	0.5714285714285714	0.6363636363636364	0.6888888888888889	0.6216216216216216	0.6578947368421053	0.8	0.782608695652174	0.6363636363636364	0.6666666666666667	0.8333333333333334	0.59375	0.6486486486486487	0.43999999999999995	0.6	0.5909090909090908	0.6	0.6774193548387097	0.6538461538461539	0.6176470588235294	0.5789473684210527	0.6666666666666667	0.6486486486486487	0.5714285714285714	0.5	0.6363636363636364	0.6129032258064516	0.5806451612903225	0.631578947368421	0.5862068965517242	0.6285714285714286	0.641025641025641	0.5357142857142857	0.6875	0.6363636363636364	0.5757575757575757	0.631578947368421
PPG Canada Fact Sheet No 12	0.6666666666666667	0.6923076923076923	0.71875	0.6060606060606061	0.65625	0.6551724137931034	0.7307692307692308	0.7407407407407407	0.71875	0.71875	0.6060606060606061	0.6666666666666667	0.7	0.7	0.76	0.7391304347826086	0.6857142857142857	0.675	0.8421052631578947	0.6470588235294117	0.5833333333333333	0.7096774193548387	0.6153846153846154	0.6666666666666667	0.7391304347826086	0.6875	0.7142857142857143	0.6666666666666667	0.7272727272727273	0.6052631578947368	0.725	0.76	0.6923076923076923	0.6521739130434783	0.6666666666666667	0.6764705882352942	0.675	0.6875	0.7435897435897436	0.6829268292682926	0.6	0.6938775510204082	0.6470588235294117	0.6285714285714286	0.675
Revised Conversion Costs and Baseline EmissionsConversation from Mercury Cell ChlorAlkali to Membrane Cell Technology	0.4375	0.5483870967741935	0.4242424242424242	0.5	0.5	0.5714285714285714	0.5333333333333333	0.4482758620689655	0.5555555555555556	0.32258064516129037	0.41666666666666663	0.5208333333333333	0.46341463414634143	0.5	0.7647058823529411	0.75	0.32352941176470584	0.47619047619047616	0.8214285714285714	0.41666666666666663	0.5238095238095238	0.24137931034482762	0.6176470588235294	0.6129032258064516	0.6666666666666667	0.5277777777777778	0.6176470588235294	0.2647058823529411	0.6071428571428572	0.4390243902439024	0.368421052631579	0.6	0.4482758620689655	0.5517241379310345	0.38235294117647056	0.4444444444444444	0.3589743589743589	0.4411764705882353	0.33333333333333337	0.4883720930232558	0.34375	0.4375	0.41666666666666663	0.36111111111111116	0.4
Historical ECU Cash Margins	0.6938775510204082	0.64	0.5357142857142857	0.6470588235294117	0.6129032258064516	0.6551724137931034	0.625	0.5833333333333333	0.6333333333333333	0.5862068965517242	0.6060606060606061	0.7234042553191489	0.631578947368421	0.6666666666666667	0.8076923076923077	0.7916666666666666	0.5625	0.5675675675675675	0.9	0.5625	0.6578947368421053	0.46153846153846156	0.56	0.6666666666666667	0.6190476190476191	0.6451612903225806	0.6666666666666667	0.5882352941176471	0.6	0.6052631578947368	0.6578947368421053	0.6521739130434783	0.5217391304347826	0.5909090909090908	0.625	0.5483870967741935	0.5675675675675675	0.5517241379310345	0.6	0.6829268292682926	0.5	0.6382978723404256	0.6060606060606061	0.5454545454545454	0.641025641025641
Consultation on EPAs Particulate Matter National Ambient Air Quality Standards Scope and Methods Plan for Health Risk and Exposure Assessment	0.47058823529411764	0.5454545454545454	0.4722222222222222	0.42105263157894735	0.45945945945945943	0.48571428571428577	0.6176470588235294	0.5454545454545454	0.4285714285714286	0.4285714285714286	0.3783783783783784	0.45833333333333337	0.4285714285714286	0.4285714285714286	0.7837837837837838	0.7714285714285715	0.42105263157894735	0.5111111111111111	0.8387096774193549	0.42105263157894735	0.45238095238095233	0.4571428571428572	0.5714285714285714	0.6857142857142857	0.65625	0.4864864864864865	0.6486486486486487	0.368421052631579	0.6451612903225806	0.40476190476190477	0.45238095238095233	0.6363636363636364	0.5454545454545454	0.6363636363636364	0.43243243243243246	0.4054054054054054	0.36585365853658536	0.5263157894736843	0.46341463414634143	0.41860465116279066	0.4	0.375	0.42105263157894735	0.368421052631579	0.4418604651162791
